SYMBOL,fastsma_Window,Returns,Sharpe_Ratio,Profit_Factor,Win_Rate,Number_of_Trade,Max_Drawdown,Mean_DrawDown,Recovery_Factor,R_Squared,Event_Over_Fitting,Parameter
HBARUSDT,70,-7.370800000000025e-05,-0.15980284657120467,0.9094135749364606,30.76923076923077,26,0.09370194316288272,-0.04060609652990172,0.07866218939758073,0.019964535220488022,-106.23039561512913,fastsma_70
HBARUSDT,80,-0.00010133699999999898,-0.22444155452373907,0.872878900208112,30.0,30,0.08837732264181941,-0.04070856391204985,0.11466403028603082,0.03240064952205102,-78.19592054234919,fastsma_80
LTCUSDT,10,-0.025073099999999328,0.04683309377059718,0.9434885414476212,23.684210526315788,38,27.56837579047543,-12.385745185262968,0.09094877475031303,0.036493557094619655,-285.1116216184002,fastsma_10
LTCUSDT,20,0.01688939999999988,0.27660966628160943,1.042356350693952,25.0,28,26.174533957777037,-11.900411825270487,0.06452607724456413,0.2097794881565601,327.93359148341153,fastsma_20
LTCUSDT,30,0.050546000000000646,0.45631522994348167,1.1309974632944833,30.76923076923077,26,27.632344967195465,-12.216243297956705,0.18292330983855257,0.28065704485036447,93.16241443437612,fastsma_30
LTCUSDT,40,0.15075519999999953,0.9790746459993551,1.45235982655187,39.130434782608695,23,22.30300985449135,-10.011263317751009,0.6759410545193328,0.48349033154101106,,fastsma_40
LTCUSDT,50,0.10493359999999981,0.7176377453759722,1.3447763072251362,39.130434782608695,23,19.827126210778445,-10.114522024415011,0.5292426087596884,0.5037394532438856,,fastsma_50
LTCUSDT,60,0.0739991999999998,0.5669795848484723,1.2352894043266378,41.66666666666667,24,21.632556936984027,-11.37016886213305,0.342073293580415,0.3588609417793013,,fastsma_60
LTCUSDT,70,0.038712100000000194,0.39255473548048325,1.1098957282091946,33.33333333333333,30,24.453071727167654,-12.921914682679624,0.15831180815206372,0.12942352612401098,109.78311690660001,fastsma_70
LTCUSDT,80,0.03704349999999934,0.3844238120453626,1.098391436079099,43.333333333333336,30,23.60049642123525,-12.9287337302573,0.15696068141460087,0.16089487021526327,143.80854940812958,fastsma_80
XLMUSDT,10,-0.0003318569999999993,-1.2277350638658575,0.4182366728432614,20.51282051282051,39,0.05481088252402566,-0.023078812908202066,0.6054582315008957,0.4190983554052309,-15.338657915909572,fastsma_10
XLMUSDT,20,-0.0003416119999999989,-1.2516353279428423,0.41739631690071216,25.0,32,0.048721928441852747,-0.02255962502681383,0.7011463029582178,0.543995464332927,-13.34857089329417,fastsma_20
XLMUSDT,30,-0.0004817760000000007,-1.8501385396418701,0.3371271326362136,23.333333333333332,30,0.06654146912051795,-0.030474977277217426,0.7240236898398233,0.8836114758038695,-11.735391551260337,fastsma_30
XLMUSDT,40,-0.0001247950000000002,-0.4548547741298404,0.7422746413281643,36.0,25,0.04825091432726358,-0.01801955663136964,0.25863758591925023,0.00047002515110872167,,fastsma_40
XLMUSDT,50,-0.00010367400000000054,-0.3719314145229358,0.8126602590165171,46.15384615384615,26,0.045258567490436,-0.01574140255798448,0.22907044068928795,0.11350679821940879,-56.0336439222946,fastsma_50
XLMUSDT,60,-1.5494000000001034e-05,-0.05467812129948818,0.9665896853685924,44.0,25,0.03804039753748656,-0.015064197572586365,0.040730384020652294,0.18904483598643185,,fastsma_60
XLMUSDT,70,-5.387000000000017e-05,-0.1897428661309596,0.8932254554319837,46.15384615384615,26,0.0329349143081914,-0.014943335235120134,0.16356502250440622,0.10397559600768991,-110.25361054390156,fastsma_70
XLMUSDT,80,6.69169999999998e-05,0.23386068619112815,1.1308705668834902,40.625,32,0.026093137452576354,-0.01433494926011634,0.2564544034676544,0.48810862943565136,123.58282648654324,fastsma_80
SUIUSDT,10,-0.000786968999999993,-0.13221540350604527,0.9494149060282197,25.64102564102564,39,0.9061113093015938,-0.4996958672124173,0.08685125016335658,0.2821553291864065,-199.15353972011624,fastsma_10
SUIUSDT,20,-0.0019702350000000003,-0.3455322668002891,0.868631942873846,33.33333333333333,27,1.0747686388112299,-0.6139657484284777,0.18331712787779325,0.42520724700721635,-47.86922321448961,fastsma_20
SUIUSDT,30,0.005779884000000001,1.0224975126458327,1.6344222234881651,44.0,25,0.705262918678462,-0.3191771649940299,0.8195360690209661,0.06881264452074698,,fastsma_30
SUIUSDT,40,0.004845923999999996,0.8622641403558722,1.5507229346287525,45.45454545454545,22,0.5262725276316771,-0.23618242855096205,0.9208012475603738,0.22601773478353482,,fastsma_40
SUIUSDT,50,0.0021869029999999966,0.3921491943495428,1.196681714489484,45.45454545454545,22,0.677375098160593,-0.39223355052341125,0.3228496302770083,0.07590921701854803,,fastsma_50
SUIUSDT,60,0.0012512609999999979,0.22775914400891056,1.1178125446353793,40.909090909090914,22,0.7804582220561906,-0.4260879121270034,0.16032389237997047,0.18967106226657937,,fastsma_60
SUIUSDT,70,-0.000781727999999997,-0.1332307583339332,0.9325453522849629,41.66666666666667,24,0.9020680193760122,-0.5091556012997315,0.08665954043473817,0.4686828369748517,,fastsma_70
SUIUSDT,80,-0.003375597999999994,-0.5927198145293433,0.7261703313052169,33.33333333333333,27,0.8652702523838984,-0.49906116560178676,0.39012065775980553,0.6559853680724825,-20.319991598525682,fastsma_80
DOTUSDT,10,-0.008622130000000023,-0.339264757979609,0.8207387688461065,30.303030303030305,33,3.9244527889059855,-1.6162147359482044,0.2197027321713202,0.0022516130088205966,-62.96429072630532,fastsma_10
DOTUSDT,20,-0.002003610000000036,-0.0593797060596565,0.9508469873568267,31.03448275862069,29,3.4131035096485407,-1.4373969262995552,0.05870346429096006,0.04336930660224514,-319.894051237516,fastsma_20
DOTUSDT,30,-0.010053830000000001,-0.3897053622343605,0.8092482938969238,34.61538461538461,26,3.8572479226734457,-1.614141977782025,0.26064775201257284,0.054189880067925245,-69.50956600618878,fastsma_30
DOTUSDT,40,0.004020259999999993,0.1869667331815866,1.1015659342602686,36.36363636363637,22,3.3099289828451117,-1.3784660046314883,0.1214606120202707,0.08329548336093329,,fastsma_40
DOTUSDT,50,0.01795104000000002,0.7358997057410093,1.502357585677791,45.0,20,3.187165831153149,-1.2653194456132566,0.5632289297449311,0.2978735648566543,,fastsma_50
DOTUSDT,60,0.02240891999999997,0.9102791161802566,1.7391297177450462,42.857142857142854,21,3.858037030825523,-1.485415005739144,0.5808373486556458,0.2079144255449723,,fastsma_60
DOTUSDT,70,-0.0010748599999999976,-0.017281924985532326,0.9778736459738063,32.0,25,4.576597643670787,-1.9913241782677376,0.023486006061434674,0.0008138158069878054,,fastsma_70
DOTUSDT,80,0.0031377600000000606,0.14938882119206956,1.0532392396081376,45.16129032258064,31,3.452594012889898,-1.7627790387831508,0.09088123272778562,0.00012953449485897384,264.2381093518936,fastsma_80
ALGOUSDT,10,-0.00022163300000000024,-0.29682273122599334,0.8564557757261151,28.57142857142857,35,0.10732791740698522,-0.04428232616233444,0.20650079248213915,0.030087585554108398,-51.76607274187521,fastsma_10
ALGOUSDT,20,-0.00018352999999999954,-0.24890232567266615,0.8652597235742989,29.03225806451613,31,0.09765533963029815,-0.04320923053531661,0.18793647197869992,0.10407826513292162,-57.394845529341175,fastsma_20
ALGOUSDT,30,0.00020986699999999997,0.2853684460000003,1.2324286130390907,31.818181818181817,22,0.0648901289636461,-0.03071807922245326,0.3234189904562763,0.5998892676463856,,fastsma_30
ALGOUSDT,40,0.00013862699999999978,0.18688274935160548,1.1388840744217543,35.0,20,0.07670171813156657,-0.03413737340536484,0.18073519521715628,0.484139861552189,,fastsma_40
ALGOUSDT,50,0.0001952459999999992,0.2607155636600353,1.2203838652001948,47.368421052631575,19,0.07778844724829481,-0.03647191352638978,0.25099614005250526,0.4220598937655804,,fastsma_50
ALGOUSDT,60,0.0008652909999999997,1.136101992499511,2.328251856240917,55.00000000000001,20,0.07665085792303294,-0.03025545408578797,1.1288732095717182,0.7646132351890333,,fastsma_60
ALGOUSDT,70,0.0005643120000000007,0.7345958679265712,1.6103500975046814,50.0,22,0.06749215983798962,-0.031160407599854122,0.836114892981042,0.7195104416561037,,fastsma_70
ALGOUSDT,80,0.0007278660000000003,0.941995410950897,1.780734196875631,44.44444444444444,27,0.07627472607011354,-0.030477456734060472,0.9542689138351393,0.6339921064996388,26.6073892722012,fastsma_80
ATOMUSDT,10,-0.014694210000000058,-0.5298287234013772,0.7392533140742459,33.33333333333333,36,3.318001509874291,-1.4675508764968956,0.44286327044368273,0.007444471694526111,-22.886402195150314,fastsma_10
ATOMUSDT,20,-0.013745449999999994,-0.4887723529813291,0.735417292652002,36.666666666666664,30,3.8133944151915067,-1.8919132507001617,0.36045183118855817,0.17007352929710895,-14.279052340956461,fastsma_20
ATOMUSDT,30,-0.007020920000000022,-0.23533940016328703,0.8642733972054037,29.629629629629626,27,3.1438401120947312,-1.4716942354673372,0.22332306191366721,0.037303970386920016,-55.33024874233006,fastsma_30
ATOMUSDT,40,0.007041260000000112,0.2843031465603817,1.1388613670032945,40.909090909090914,22,3.3770262519567718,-1.675262950114486,0.20850474573362138,0.148189530926502,,fastsma_40
ATOMUSDT,50,0.005993869999999984,0.24611949457849894,1.1354481387792772,40.0,20,3.4415468659859894,-1.668485593964914,0.17416209144903694,0.15976358656291023,,fastsma_50
