SYMBOL,Timeframe,Returns,Sharpe_Ratio,Number_of_Trade,Max_Drawdown,Parameter
ZENUSDT,12h,10.951170000000001,0.6091616804961366,3,-19.102589340264352,ZENUSDT_12h
NEARUSDT,12h,1.214100000000002,0.24080075025168304,3,-4.658785942121951,NEARUSDT_12h
APTUSDT,12h,-0.23698289999999922,0.02174530874206844,2,-8.84376806645926,APTUSDT_12h
ATOMUSDT,12h,0.8693829999999974,0.18595132071828135,2,-4.42804913589873,ATOMUSDT_12h
ALGOUSDT,12h,0.24580200000000005,0.7950019808648937,3,-0.2993549612859815,ALGOUSDT_12h
SUIUSDT,12h,3.2669790000000005,1.165514430106303,3,-1.2406101043940294,SUIUSDT_12h
DOTUSDT,12h,0.6299549999999998,0.13847972053047009,2,-4.898167298764019,DOTUSDT_12h
XLMUSDT,12h,0.34547869999999997,1.1400363446423245,4,-0.246669713148821,XLMUSDT_12h
TRXUSDT,12h,0.09311003000000004,0.3954776130311785,3,-0.2158924569720777,TRXUSDT_12h
PEPEUSDT,12h,1.0369029999999995e-05,0.6134511016389945,4,-1.4611197752542992e-05,PEPEUSDT_12h
